experiment,interest_score,distance,time_sec,route_length,route_text,yandex_url
user_2_1_religion_focus,43,21419.077887354273,25.401726245880127,11,В. В. Набокову -> Вышина воды 7го ноября 1824 года -> И. И. Бецкому -> Место-сюрприз -> Памятный камень П.Шпунтенков -> Поперечный канал и «шутишный» мост -> Кофейный домик -> Иридарий -> Растения Северо-запада -> Схема общественного транспорта -> Схема общественного транспорта,"https://yandex.ru/maps/?mode=routes&rtext=59.927085,30.317504~59.9318236,30.3049746~59.9316327,30.3171609~59.9329937,30.31754~59.9510215,30.3218083~59.9693733,30.3098922~59.9448828,30.3354022~59.9460357,30.3366859~59.9707354,30.321992~59.9690698,30.3263238~59.9281566,30.4126809~59.9221648,30.4199664~59.935408,30.327108&rtt=pd"

user_2_2_religion_focus,0,2220.3818721852467,29.7525372505188,2,Ирэна -> Краски,"https://yandex.ru/maps/?mode=routes&rtext=59.927085,30.317504~59.9337464,30.3108591~59.9298207,30.3176786~59.935408,30.327108&rtt=pd"
user_2_2_religion_focus,63,169939.1026680824,29.7525372505188,15,Место-сюрприз -> Птицы леса -> Место-сюрприз -> Грот на берегу Шапельного пруда -> Пешеходный маршрут Долина реки Славянки -> Место-сюрприз -> К. Н. Лаптеву -> Парадный партер и Коронный фонтан -> Боскет «Птичий двор» -> Коллекция скульптуры Летнего сада -> Фонтан «Лакоста» -> В. Н. Салманову -> Бегемот -> Место-сюрприз -> Место-сюрприз,"https://yandex.ru/maps/?mode=routes&rtext=59.927085,30.317504~59.8269506,30.0719732~60.182049,29.7825291~60.1852235,29.8079709~59.7149784,30.3783905~59.6890917,30.4578097~59.9485831,30.316983~59.9603244,30.3170617~59.946206,30.3336133~59.9462482,30.3343901~59.9451168,30.3354891~59.9460523,30.3358559~59.9429212,30.347921~60.0308097,30.3005773~59.9489844,30.3754511~60.0108659,30.4293193~59.935408,30.327108&rtt=pd"
user_2_2_religion_focus,55,100537.33743323167,29.7525372505188,15,"Место-сюрприз -> Грот на берегу Шапельного пруда -> Пешеходный маршрут Долина реки Славянки -> Веломаршрут №2, Веломаршрут №3 -> Место-сюрприз -> А. А. Борисяку -> Место-сюрприз -> К. Н. Лаптеву -> Парадный партер и Коронный фонтан -> Боскет «Птичий двор» -> Коллекция скульптуры Летнего сада -> Фонтан «Лакоста» -> В. Н. Салманову -> Место-сюрприз -> Место-сюрприз","https://yandex.ru/maps/?mode=routes&rtext=59.927085,30.317504~59.8269506,30.0719732~59.7149784,30.3783905~59.6890917,30.4578097~59.6952795,30.4783943~59.9380373,30.280544~59.936536,30.2859921~59.9485831,30.316983~59.9603244,30.3170617~59.946206,30.3336133~59.9462482,30.3343901~59.9451168,30.3354891~59.9460523,30.3358559~59.9429212,30.347921~59.9489844,30.3754511~60.0108659,30.4293193~59.935408,30.327108&rtt=pd"

user_2_3_religion_focus,1,1580.110840114642,27.04971408843994,1,Исполнению Седьмой (Ленинградской) симфонии Д. Д. Шостаковича,"https://yandex.ru/maps/?mode=routes&rtext=59.927085,30.317504~59.9364794,30.3315533~59.935408,30.327108&rtt=pd"
user_2_3_religion_focus,68,81226.07875775873,27.04971408843994,15,"Бойцам орудийного расчёта 42 армии -> Место-сюрприз -> Веломаршрут №1, Веломаршрут №2, Веломаршрут №4 -> Место-сюрприз -> Пешеходный маршрут Долина реки Славянки -> Схема кладбища -> Буйвол -> Апостол Пётр -> Место-сюрприз -> Александру III -> Летний сад -> Лабиринт -> Место-сюрприз -> Место-сюрприз -> Схема общественного транспорта","https://yandex.ru/maps/?mode=routes&rtext=59.927085,30.317504~59.7675158,30.3242282~59.7111347,30.3992021~59.6858936,30.45477~59.6851759,30.4558302~59.6883038,30.4593252~59.9416058,30.254915~59.8679952,30.3771228~59.9365499,30.3238708~59.9498138,30.3208055~59.9453876,30.3274499~59.9419529,30.3369538~59.9442929,30.3351284~59.9491134,30.3772017~59.9285909,30.4090085~59.9227072,30.4188768~59.935408,30.327108&rtt=pd"
user_2_3_religion_focus,52,52320.35951951659,27.04971408843994,15,Миклашевская дорожка -> Схема кладбища -> И. И. Шувалову -> Буйвол -> Апостол Пётр -> Могила Александра III -> Исполнению Седьмой (Ленинградской) симфонии Д. Д. Шостаковича -> А. А. Кузнецову -> Место-сюрприз -> Александру III -> Лабиринт -> Место-сюрприз -> Место-сюрприз -> Место-сюрприз -> Схема общественного транспорта,"https://yandex.ru/maps/?mode=routes&rtext=59.927085,30.317504~59.943659,30.25015~59.9416058,30.254915~59.9378004,30.2898802~59.8679952,30.3771228~59.9365499,30.3238708~59.9502401,30.3162201~59.9364794,30.3315533~59.9621791,30.3099301~59.9498138,30.3208055~59.9453876,30.3274499~59.9442929,30.3351284~59.9396535,30.3561741~59.9491134,30.3772017~59.9285909,30.4090085~59.9227072,30.4188768~59.935408,30.327108&rtt=pd"

user_2_4_religion_focus,5,1800.2481664901977,24.399354696273804,1,Городское туристско-информационное бюро,"https://yandex.ru/maps/?mode=routes&rtext=59.927085,30.317504~59.934739,30.3356203~59.935408,30.327108&rtt=pd"
user_2_4_religion_focus,60,69286.83788941379,24.399354696273804,15,"Место-сюрприз -> Тверская дорожка -> Место-сюрприз -> М. П. Мусоргский -> А. В. Суворову -> Большая сцена, малая сцена, касса театра, служебный вход -> Место-сюрприз -> В. Г. Яну -> Городское туристско-информационное бюро -> Кассы -> Летний сад -> Танк Т-80 -> Место-сюрприз -> В. М. Бехтерев -> Схема общественного транспорта","https://yandex.ru/maps/?mode=routes&rtext=59.927085,30.317504~59.8482407,30.1722191~59.941941,30.246271~59.9066254,30.2984689~59.9101571,30.2980547~59.9198547,30.2991383~59.9198173,30.3126151~59.8563524,30.3994579~59.9294976,30.3370912~59.934739,30.3356203~59.950962,30.3220784~59.9419529,30.3369538~59.9085832,30.3686251~59.9691486,30.3194834~59.9033903,30.403543~59.9280061,30.4125072~59.935408,30.327108&rtt=pd"
user_2_4_religion_focus,50,39839.35443205509,24.399354696273804,13,"Тверская дорожка -> Место-сюрприз -> М. П. Мусоргский -> А. В. Суворову -> Большая сцена, малая сцена, касса театра, служебный вход -> А. П. Павловой -> Городское туристско-информационное бюро -> Кассы -> Летний сад -> Танк Т-80 -> Место-сюрприз -> В. М. Бехтерев -> Схема общественного транспорта","https://yandex.ru/maps/?mode=routes&rtext=59.927085,30.317504~59.941941,30.246271~59.9066254,30.2984689~59.9101571,30.2980547~59.9198547,30.2991383~59.9198173,30.3126151~59.9367087,30.3302669~59.934739,30.3356203~59.950962,30.3220784~59.9419529,30.3369538~59.9085832,30.3686251~59.9691486,30.3194834~59.9033903,30.403543~59.9280061,30.4125072~59.935408,30.327108&rtt=pd"
